country,region,incident_count,avg_severity,fatalities,incident_score_raw,last_event,incident_score_0_100,refugee_pressure_0_100,risk_score_0_100,risk_level
Ethiopia,Gambella,2,3.5,7,6.839720770839918,2026-02-25,100.0,100.0,100.0,HIGH
South Sudan,Jonglei,1,5.0,22,6.567747107964575,2026-02-22,96.02361453065656,0.0,96.02361453065656,HIGH
Sudan,Khartoum,1,5.0,12,6.282474678730768,2026-02-27,91.8527947151749,0.0,91.8527947151749,HIGH
South Sudan,Upper Nile,1,4.0,15,5.386294361119891,2026-02-24,78.75020840154055,0.0,78.75020840154055,HIGH
Somalia,Banadir,1,2.0,0,2.0,2026-02-26,29.240959784888997,0.0,29.240959784888997,LOW
